year,dist,total_taxes_spent,taxes_min_salary,taxes_median_salary,taxes_max_salary,savings_min_salary,savings_median_salary,savings_max_salary
2017,ENCINITAS UNION ELEMENTARY,25013554.0,13743046.0,25673589.0,33759030.0,11270508.0,-660035.0,-8745476.0
2017,ESCONDIDO UNION,77717976.9,39530258.21,80881938.44,105703712.42,38187718.690000005,-3163961.5399999917,-27985735.519999996
2017,ESCONDIDO UNION HIGH,37135288.55,20890780.8,37788491.2,57772291.2,16244507.749999996,-653202.650000006,-20637002.650000006
2017,FALLBROOK UNION ELEMENTARY,22699794.0,13873684.0,23530782.0,30618060.0,8826110.0,-830988.0,-7918266.0
2017,FALLBROOK UNION HIGH,10846157.22,5707365.29,11559962.860000001,15159245.06,5138791.930000001,-713805.6400000006,-4313087.84
2017,GROSSMONT UNION HIGH,80228436.0,44627642.0,82234620.0,119316286.0,35600794.0,-2006184.0,-39087850.0
2017,JAMUL-DULZURA UNION ELEMENTARY,2277559.0,1325526.0,2456928.0,2861802.0,952033.0,-179369.0,-584243.0
2017,JULIAN UNION ELEMENTARY,1763493.5099999998,1053861.3,1808346.1400000001,2267259.3,709632.2099999997,-44852.630000000354,-503765.79000000004
2017,JULIAN UNION HIGH,144492.89,117509.82,144492.89,171475.96,26983.070000000007,0.0,-26983.069999999978
2017,LA MESA-SPRING VALLEY,44673937.0,25236681.0,46522065.0,61352396.0,19437256.0,-1848128.0,-16678459.0
2017,MOUNTAIN EMPIRE UNIFIED,6927808.0,4511567.0,6632739.0,9892392.0,2416241.0,295069.0,-2964584.0
2017,NATIONAL ELEMENTARY,24599026.58,14274157.120000001,24362209.28,34045131.16,10324869.459999997,236817.29999999702,-9446104.579999998
2017,OCEANSIDE UNIFIED,89821358.28,41204131.919999994,93894677.43999998,148514785.99999997,48617226.36000001,-4073319.1599999815,-58693427.71999997
2017,POWAY UNIFIED,154286910.0,82612602.0,159280164.0,245310957.0,71674308.0,-4993254.0,-91024047.0
2017,RAMONA CITY UNIFIED,21662423.0,11046917.0,22763157.0,31945103.0,10615506.0,-1100734.0,-10282680.0
2017,RANCHO SANTA FE ELEMENTARY,4593508.0,3069631.0,4511897.0,5997283.0,1523877.0,81611.0,-1403775.0
2017,SAN DIEGO COUNTY OFFICE OF EDUCATION,25476624.16,11690882.66,26104163.199999996,33500627.96,13785741.5,-627539.0399999954,-8024003.800000001
2017,SAN DIEGO UNIFIED,527347885.0,256891267.0,551917352.0,932158382.0,270456618.0,-24569467.0,-404810497.0
2017,SAN DIEGUITO UNION HIGH,65285859.0,37737798.0,68319734.0,82004760.0,27548061.0,-3033875.0,-16718901.0
